,0
SHAP_OX_01,9.122620878943303
SHAP_TEMP_01,6.702456679290379
SHAP_TEMP_20,5.59417962370164
SHAP_TEMP_03,4.3472354521000645
SHAP_TEMP_24,4.321206819727271
SHAP_HUM_01,2.8677827705423042
SHAP_HUM_02,2.386818845909027
SHAP_TEMP_05,2.086753275297605
SHAP_TEMP_06,1.9525130118117902
SHAP_OX_02,1.071485137985057
SHAP_TEMP_07,1.0213122354502888
SHAP_WS_01,0.9954593048568816
SHAP_TEMP_19,0.867913320123249
SHAP_OX_05,0.7083400440488592
SHAP_OX_20,0.6979068191642561
SHAP_OX_22,0.3804783227459993
SHAP_OX_15,0.3692346594498299
SHAP_OX_21,0.3309718185711574
SHAP_OX_03,0.28052143372769933
SHAP_OX_04,0.21215531768824436
